code|name|text
AP011|Tepung jagung kuning|Tepung jagung kuning per 100 gram memiliki kandungan zat gizi seperti 1.2 g zat abu, 12.0 g zat air, 2.4 mg zat besi, 0 mcg zat beta-karoten, 355 zat energi, 256 mg zat fosfor, 24.4 mg zat kalium, 10 mg zat kalsium, 73.7 g zat karbohidrat, 510 mcg zat karoten total, 3.9 g zat lemak, 11 mg zat natrium, 0.3 mg zat niasin, 9.2 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 1.7 mg zat seng, 7.2 g zat serat, 0.23 mg zat tembaga, 0.38 mg zat thiamin dan 0 mg zat vitamin c. 
AP012|Jagung pipil kuning rebus|Jagung pipil kuning rebus per 100 gram memiliki kandungan zat gizi seperti 0.6 g zat abu, 63.7 g zat air, 0.5 mg zat besi, 818 mcg zat beta-karoten, 154 zat energi, 171 mg zat fosfor, 56.4 mg zat kalium, 7 mg zat kalsium, 28.4 g zat karbohidrat, 234 mcg zat karoten total, 3.5 g zat lemak, 5 mg zat natrium, 1.7 mg zat niasin, 3.8 g zat protein, 0 mcg zat retinol, 0.10 mg zat riboflavin, 4.4 mg zat seng, 0.7 g zat serat, 0.10 mg zat tembaga, 0.08 mg zat thiamin dan 0 mg zat vitamin c. 
AP013|Tepung jagung putih|Tepung jagung putih per 100 gram memiliki kandungan zat gizi seperti 1.2 g zat abu, 12.0 g zat air, 2.4 mg zat besi, 0 mcg zat beta-karoten, 355 zat energi, 256 mg zat fosfor, 24.4 mg zat kalium, 10 mg zat kalsium, 73.7 g zat karbohidrat, 0 mcg zat karoten total, 3.9 g zat lemak, 11 mg zat natrium, 0.3 mg zat niasin, 9.2 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 1.7 mg zat seng, 7.2 g zat serat, 0.23 mg zat tembaga, 0.38 mg zat thiamin dan 0 mg zat vitamin c. 
AP014|Ketupat ketan|Ketupat ketan per 100 gram memiliki kandungan zat gizi seperti 0.9 g zat abu, 52.0 g zat air, 1.0 mg zat besi, 0 mcg zat beta-karoten, 212 zat energi, 46 mg zat fosfor, 0 mg zat kalium, 8 mg zat kalsium, 38.6 g zat karbohidrat, 0 mcg zat karoten total, 4.6 g zat lemak, 0 mg zat natrium, 0.2 mg zat niasin, 4.0 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0.2 g zat serat, 0 mg zat tembaga, 0.07 mg zat thiamin dan 0 mg zat vitamin c. 
AP015|Ketan hitam masak|Ketan hitam masak per 100 gram memiliki kandungan zat gizi seperti 0.6 g zat abu, 56.9 g zat air, 1.7 mg zat besi, 0 mcg zat beta-karoten, 181 zat energi, 144 mg zat fosfor, 18.4 mg zat kalium, 9 mg zat kalsium, 37.3 g zat karbohidrat, 0 mcg zat karoten total, 1.2 g zat lemak, 9 mg zat natrium, 0.5 mg zat niasin, 4.0 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0.7 mg zat seng, 0.3 g zat serat, 0.10 mg zat tembaga, 0.06 mg zat thiamin dan 0 mg zat vitamin c. 
AP016|Tapai ketan hitam|Tapai ketan hitam per 100 gram memiliki kandungan zat gizi seperti 0.6 g zat abu, 50.2 g zat air, 1.6 mg zat besi, 0 mcg zat beta-karoten, 166 zat energi, 106 mg zat fosfor, 12.0 mg zat kalium, 8 mg zat kalsium, 34.4 g zat karbohidrat, 0 mcg zat karoten total, 1.0 g zat lemak, 5 mg zat natrium, 0 mg zat niasin, 3.8 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0.3 g zat serat, 0 mg zat tembaga, 0.02 mg zat thiamin dan 0 mg zat vitamin c. 
AP017|Ketan putih masak|Ketan putih masak per 100 gram memiliki kandungan zat gizi seperti 0.2 g zat abu, 60.7 g zat air, 0.7 mg zat besi, 0 mcg zat beta-karoten, 163 zat energi, 55 mg zat fosfor, 16.8 mg zat kalium, 4 mg zat kalsium, 35.7 g zat karbohidrat, 0 mcg zat karoten total, 0.4 g zat lemak, 8 mg zat natrium, 0.5 mg zat niasin, 3.0 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0.7 mg zat seng, 0.2 g zat serat, 0.10 mg zat tembaga, 0.07 mg zat thiamin dan 0 mg zat vitamin c. 
AP018|Tapai ketan putih|Tapai ketan putih per 100 gram memiliki kandungan zat gizi seperti 0.1 g zat abu, 58.9 g zat air, 0.5 mg zat besi, 0 mcg zat beta-karoten, 172 zat energi, 35 mg zat fosfor, 0 mg zat kalium, 6 mg zat kalsium, 37.5 g zat karbohidrat, 0 mcg zat karoten total, 0.5 g zat lemak, 1 mg zat natrium, 0.2 mg zat niasin, 3.0 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0 mg zat seng, 0.6 g zat serat, 0 mg zat tembaga, 0.04 mg zat thiamin dan 0 mg zat vitamin c. 
AP019|Tepung maizena|Tepung maizena per 100 gram memiliki kandungan zat gizi seperti 0.7 g zat abu, 14.0 g zat air, 1.5 mg zat besi, 0 mcg zat beta-karoten, 341 zat energi, 30 mg zat fosfor, 9.0 mg zat kalium, 20 mg zat kalsium, 85.0 g zat karbohidrat, 0 mcg zat karoten total, 0.0 g zat lemak, 6 mg zat natrium, 1.3 mg zat niasin, 0.3 g zat protein, 0 mcg zat retinol, 0.09 mg zat riboflavin, 1.6 mg zat seng, 7.0 g zat serat, 0.22 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP020|Makaroni mentah|Makaroni mentah per 100 gram memiliki kandungan zat gizi seperti 2.5 g zat abu, 11.7 g zat air, 0.3 mg zat besi, 0 mcg zat beta-karoten, 353 zat energi, 80 mg zat fosfor, 0.0 mg zat kalium, 20 mg zat kalsium, 78.7 g zat karbohidrat, 0 mcg zat karoten total, 0.4 g zat lemak, 5 mg zat natrium, 2.2 mg zat niasin, 8.7 g zat protein, 0 mcg zat retinol, 0.13 mg zat riboflavin, 1.4 mg zat seng, 4.9 g zat serat, 0.28 mg zat tembaga, 0.10 mg zat thiamin dan 0 mg zat vitamin c. 
AP021|Mie basah|Mie basah per 100 gram memiliki kandungan zat gizi seperti 2.1 g zat abu, 80.0 g zat air, 6.8 mg zat besi, 0 mcg zat beta-karoten, 88 zat energi, 13 mg zat fosfor, 13.5 mg zat kalium, 14 mg zat kalsium, 14.0 g zat karbohidrat, 0 mcg zat karoten total, 3.3 g zat lemak, 63 mg zat natrium, 0.0 mg zat niasin, 0.6 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0.4 mg zat seng, 0.1 g zat serat, 0.06 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP022|Mie kering|Mie kering per 100 gram memiliki kandungan zat gizi seperti 1.4 g zat abu, 10.6 g zat air, 3.9 mg zat besi, 0 mcg zat beta-karoten, 339 zat energi, 143 mg zat fosfor, 83.0 mg zat kalium, 31 mg zat kalsium, 6.3 g zat karbohidrat, 0 mcg zat karoten total, 1.7 g zat lemak, 760 mg zat natrium, 2.2 mg zat niasin, 10.0 g zat protein, 0 mcg zat retinol, 0.08 mg zat riboflavin, 1.9 mg zat seng, 0.4 g zat serat, 0.29 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP023|Misua|Misua per 100 gram memiliki kandungan zat gizi seperti 1.3 g zat abu, 10.0 g zat air, 8.7 mg zat besi, 0 mcg zat beta-karoten, 345 zat energi, 120 mg zat fosfor, 44.0 mg zat kalium, 52 mg zat kalsium, 78.0 g zat karbohidrat, 0 mcg zat karoten total, 2.2 g zat lemak, 3064 mg zat natrium, 0.2 mg zat niasin, 8.5 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 0.0 mg zat seng, 0.5 g zat serat, 0.08 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP024|Roti tawar putih|Roti tawar putih per 100 gram memiliki kandungan zat gizi seperti 0.8 g zat abu, 40.0 g zat air, 1.5 mg zat besi, 0 mcg zat beta-karoten, 248 zat energi, 95 mg zat fosfor, 91.0 mg zat kalium, 10 mg zat kalsium, 50.0 g zat karbohidrat, 0 mcg zat karoten total, 1.2 g zat lemak, 530 mg zat natrium, 2.4 mg zat niasin, 8.0 g zat protein, 0 mcg zat retinol, 0.29 mg zat riboflavin, 0.9 mg zat seng, 9.1 g zat serat, 0.15 mg zat tembaga, 0.10 mg zat thiamin dan 0 mg zat vitamin c. 
AP025|Tepung terigu|Tepung terigu per 100 gram memiliki kandungan zat gizi seperti 1.0 g zat abu, 11.8 g zat air, 1.3 mg zat besi, 0 mcg zat beta-karoten, 333 zat energi, 150 mg zat fosfor, 0.0 mg zat kalium, 22 mg zat kalsium, 77.2 g zat karbohidrat, 0 mcg zat karoten total, 1.0 g zat lemak, 2 mg zat natrium, 1.0 mg zat niasin, 9.0 g zat protein, 0 mcg zat retinol, 0.07 mg zat riboflavin, 2.8 mg zat seng, 0.3 g zat serat, 0.00 mg zat tembaga, 0.10 mg zat thiamin dan 0 mg zat vitamin c. 
AP026|Amparan tatak|Amparan tatak per 100 gram memiliki kandungan zat gizi seperti 0.8 g zat abu, 58.4 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 191 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 34.0 g zat karbohidrat, 0 mcg zat karoten total, 5.5 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 1.3 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP027|Kue apang kukus|Kue apang kukus per 100 gram memiliki kandungan zat gizi seperti 0.5 g zat abu, 49.5 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 202 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 46.7 g zat karbohidrat, 0 mcg zat karoten total, 0.3 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 3.0 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP028|Kue apem|Kue apem per 100 gram memiliki kandungan zat gizi seperti 0.5 g zat abu, 63.1 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 148 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 33.9 g zat karbohidrat, 0 mcg zat karoten total, 0.5 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 2.0 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
