FOOD_CODE|Nutrient/Ingridient|Value (per 100gr)|Name|Group|Type
AP004|Besi (Fe)|0.8 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Natrium (Na)|5 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Kalium (K)|241.0 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Tembaga (Cu)|0.10 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Seng (Zn)|0.8 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Retinol (Vit. A)|0 mcg|Rice, flour, raw|Cereals|Processed/Products
AP004|Beta-Karoten (Carotenes)|0 mcg|Rice, flour, raw|Cereals|Processed/Products
AP004|Karoten Total (Re)|0 mcg|Rice, flour, raw|Cereals|Processed/Products
AP004|Thiamin (Vit. B1)|0.12 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Riboflavin (Vit. B2)|0.10 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Niasin (Niacin)|1.2 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Vitamin C (Vit. C)|0 mg|Rice, flour, raw|Cereals|Processed/Products
AP005|Air (Water)|64.0 g|Red rice|Cereals|Processed/Products
AP005|Energi (Energy)|149 Kal|Red rice|Cereals|Processed/Products
AP005|Protein (Protein)|2.8 g|Red rice|Cereals|Processed/Products
AP005|Lemak (Fat)|0.4 g|Red rice|Cereals|Processed/Products
AP005|Karbohidrat (CHO)|32.5 g|Red rice|Cereals|Processed/Products
AP005|Serat (Fibre)|0.3 g|Red rice|Cereals|Processed/Products
AP005|Abu (ASH)|0.3 g|Red rice|Cereals|Processed/Products
AP005|Kalsium (Ca)|6 mg|Red rice|Cereals|Processed/Products
AP005|Fosfor (P)|63 mg|Red rice|Cereals|Processed/Products
AP005|Besi (Fe)|0.8 mg|Red rice|Cereals|Processed/Products
AP005|Natrium (Na)|5 mg|Red rice|Cereals|Processed/Products
AP005|Kalium (K)|91.4 mg|Red rice|Cereals|Processed/Products
AP005|Tembaga (Cu)|0.20 mg|Red rice|Cereals|Processed/Products
AP005|Seng (Zn)|0.9 mg|Red rice|Cereals|Processed/Products
AP005|Retinol (Vit. A)|0 mcg|Red rice|Cereals|Processed/Products
AP005|Beta-Karoten (Carotenes)|0 mcg|Red rice|Cereals|Processed/Products
AP005|Karoten Total (Re)|0 mcg|Red rice|Cereals|Processed/Products
AP005|Thiamin (Vit. B1)|0.06 mg|Red rice|Cereals|Processed/Products
AP005|Riboflavin (Vit. B2)|0.00 mg|Red rice|Cereals|Processed/Products
AP005|Niasin (Niacin)|1.6 mg|Red rice|Cereals|Processed/Products
AP005|Vitamin C (Vit. C)|0 mg|Red rice|Cereals|Processed/Products
AP006|Air (Water)|12.9 g|Vermicelli, raw|Cereals|Processed/Products
AP006|Energi (Energy)|348 Kal|Vermicelli, raw|Cereals|Processed/Products
AP006|Protein (Protein)|4.7 g|Vermicelli, raw|Cereals|Processed/Products
