Number|Food Code|Food Name|Group|Type
478|ER009|Kelenting fruit, fresh|Fruits|Raw
479|AP058|Kelepon, kue|Cereals|Processed/Products
480|DR039|Kemang leaves, fresh|Vegetables|Raw
481|ER047|Kemang, fresh|Fruits|Raw
482|BP041|Kemplang  (fish), chips, raw|Starchy Roots & Tubers|Processed/Products
483|BP042|Kemplang, chips, fried|Starchy Roots & Tubers|Processed/Products
484|BP043|Kemplang, chips, roasted|Starchy Roots & Tubers|Processed/Products
485|FP025|Kentucky fried chicken, breast|Meat and Poultry|Processed/Products
486|FP026|Kentucky fried chicken, thigh|Meat and Poultry|Processed/Products
487|FP027|Kentucky fried chicken, wings|Meat and Poultry|Processed/Products
488|BP034|Keremes|Starchy Roots & Tubers|Processed/Products
489|AP059|Kereput|Cereals|Processed/Products
490|BR015|Keribang, tuber, fresh|Starchy Roots & Tubers|Raw
491|FP007|Kerupuk urat|Meat and Poultry|Processed/Products
492|ER082|Ketip banana, fresh|Fruits|Raw
493|AP060|Ketoprak|Cereals|Processed/Products
494|AP061|Ketupat kandangan|Cereals|Processed/Products
495|GP016|Keumamah, dried|Fish and Other Seafood|Processed/Products
496|CR024|Kidney bean (Banda), dried|Grains and Legumes|Raw
497|CR025|Kidney bean, dark red, dried|Grains and Legumes|Raw
498|CR026|Kidney bean, dried|Grains and Legumes|Raw
499|CP008|Kidney bean, dried, boiled|Grains and Legumes|Processed/Products
500|CR027|Kidney bean, fresh|Grains and Legumes|Raw
501|CP009|Kidney bean, fresh, boiled|Grains and Legumes|Processed/Products
502|CR019|Kincai nut, dried|Grains and Legumes|Raw
503|GR014|Kissing gourami, fresh|Fish and Other Seafood|Raw
504|NR021|Kluwek|Herbs and Spices|Raw
505|DP050|Kohu-kohu soup|Vegetables|Processed/Products
506|FP072|Konro soup, dish|Meat and Poultry|Processed/Products
507|DR074|Kopang cassava leaves, fresh|Vegetables|Raw
508|ER060|Kopek mango,fresh|Fruits|Raw
509|DR115|Koro crackers, pods|Vegetables|Raw
510|DR043|Koro leaves, fresh|Vegetables|Raw
511|DP039|Kotiu hinela tawang nggole|Vegetables|Processed/Products
512|AP062|Koya|Cereals|Processed/Products
513|AP063|Koya mirasa|Cereals|Processed/Products
514|AP064|Koyabu|Cereals|Processed/Products
515|AP065|Kue ali|Cereals|Processed/Products
516|AP066|Kue bangen|Cereals|Processed/Products
517|AP067|Kue gelang|Cereals|Processed/Products
518|AP070|Kue koa|Cereals|Processed/Products
519|AP071|Kue ku temu|Cereals|Processed/Products
520|AP072|Kue lumpur|Cereals|Processed/Products
521|AP073|Kue pelita|Cereals|Processed/Products
522|AP074|Kue putu cangkir|Cereals|Processed/Products
523|AP076|Kue thipan|Cereals|Processed/Products
524|CP046|Kwaci (dried sunflower seeds)|Grains and Legumes|Processed/Products
525|ER061|Kweni mango, fresh|Fruits|Raw
526|ER087|Lady finger banana, fresh|Fruits|Raw
527|AP077|Laksa/Putu mayang|Cereals|Processed/Products
528|FR018|Lamb, kidney, fresh|Meat and Poultry|Raw
529|FR016|Lamb, meat, fat, fresh|Meat and Poultry|Raw
530|FR017|Lamb, meat, lean, fresh|Meat and Poultry|Raw
531|EP004|Lampung cracker|Fruits|Processed/Products
532|DP027|Lamtoro wrapped in banana leaves|Vegetables|Processed/Products
533|ER049|Langsat, fresh|Fruits|Raw
534|ER051|Langsat, fresh|Fruits|Raw
535|ER022|Langsat, fresh|Fruits|Raw
536|DR125|Lantar, fresh|Vegetables|Raw
537|BP048|Lanting getuk|Starchy Roots & Tubers|Processed/Products
538|AP078|Lapis legit|Cereals|Processed/Products
539|GR041|Large saltwater clam, fresh|Fish and Other Seafood|Raw
540|GR047|Largehead hairtail, fresh|Fish and Other Seafood|Raw
541|ER088|Latundan banana, fresh|Fruits|Raw
542|FP055|Lawara jangang, dish|Meat and Poultry|Processed/Products
543|GP073|Lawara penjah, dish|Fish and Other Seafood|Processed/Products
544|GR023|Leaf fish, fresh|Fish and Other Seafood|Raw
545|EP005|Ledre pisang|Fruits|Processed/Products
546|DR049|Leilem leaves, fresh|Vegetables|Raw
547|DP040|Lema/ Bamboo shoots sour|Vegetables|Processed/Products
548|ER052|Lemon, fresh|Fruits|Raw
549|EP006|Lempog durian|Fruits|Processed/Products
550|CR021|Lentils, yellow, dried|Grains and Legumes|Raw
551|GR070|Leopard coral grouper, fresh|Fish and Other Seafood|Raw
552|GP037|Leopard coral grouper, salted, raw|Fish and Other Seafood|Processed/Products
553|BR017|Lepok/Nut-grass tuber|Starchy Roots & Tubers|Raw
554|BR010|Lesser yam, tuber, fresh|Starchy Roots & Tubers|Raw
555|DP016|Lettuce, boiled|Vegetables|Processed/Products
556|DR145|Lettuce, fresh|Vegetables|Raw
557|DR031|Lilac tasselflower leaves, fresh|Vegetables|Raw
558|DP041|Lilin bungkus gedi|Vegetables|Processed/Products
559|ER040|Lime, fresh|Fruits|Raw
560|DR108|Little hogweed, fresh|Vegetables|Raw
561|EP007|Loka anjoro|Fruits|Processed/Products
562|DP004|long beans leaves, boiled|Vegetables|Processed/Products
563|DP019|Long eggpalnt, steamed|Vegetables|Processed/Products
564|DR159|Long eggplant|Vegetables|Raw
565|DR060|Longgiho fern leaves, fresh|Vegetables|Raw
566|ER007|Loquat, fresh|Fruits|Raw
567|DR001|Lotus root, fresh|Vegetables|Raw
568|AP020|Macaroni, raw|Cereals|Processed/Products
569|GR052|Mackerel scad, fresh|Fish and Other Seafood|Raw
570|GR080|Mackerel tuna, fresh|Fish and Other Seafood|Raw
571|GR035|Mackerel tuna, fresh|Fish and Other Seafood|Raw
572|DR111|Madura cucumber, fresh|Vegetables|Raw
573|DR085|Maize, unripe, fresh|Vegetables|Raw
574|ER003|Malang apple, fresh|Fruits|Raw
575|ER033|Malay apple, fresh|Fruits|Raw
576|GR034|Malay combtail, fresh|Fish and Other Seafood|Raw
577|HR009|Maleo egg, fresh|Eggs|Raw
578|ER062|Manalagi mango, fresh|Fruits|Raw
579|AP080|Manan samin|Cereals|Processed/Products
580|ER037|Mandarin orange|Fruits|Raw
581|ER054|Mango, fresh|Fruits|Raw
582|ER064|Mangosteen, fresh|Fruits|Raw
583|GR051|Mangrove clam, fresh|Fish and Other Seafood|Raw
584|ER050|Manila tamarind, fresh|Fruits|Raw
585|KP001|Margarine|Fat and Oil|Processed/Products
586|MP011|Markisa squash|Convectionery|Processed/Products
587|MP012|Markisa squash, BD|Convectionery|Processed/Products
588|GR002|Maroon clownfish, fresh|Fish and Other Seafood|Raw
589|ER085|Mas bali ampenan banana, fresh|Fruits|Raw
590|ER086|Mas bali kopang banana, fresh|Fruits|Raw
591|AP083|Masekat|Cereals|Processed/Products
592|ER066|Matoa, fresh|Fruits|Raw
593|FP028|Mbok Berek Fried chicken, breast|Meat and Poultry|Processed/Products
594|DR096|Mecca bean, peas, fresh|Vegetables|Raw
595|CP048|Melinjo, emping, thick, fried, savory|Grains and Legumes|Processed/Products
596|CP047|Melinjo, emping, thick, fried, sweet|Grains and Legumes|Processed/Products
597|CP049|Melinjo, emping, thin, fried|Grains and Legumes|Processed/Products
598|ER067|Melon, fresh|Fruits|Raw
599|FP008|Menjangan, meat, jerked meat, raw|Meat and Poultry|Processed/Products
600|ER068|Menteng, fresh|Fruits|Raw
601|DR017|Mexican mint, fresh|Vegetables|Raw
602|AP084|Mie aceh, boiled|Cereals|Processed/Products
603|AP085|Mie ayam|Cereals|Processed/Products
604|AP086|Mie bakso|Cereals|Processed/Products
605|AP087|Mie celon|Cereals|Processed/Products
606|AP088|Mie pangsit, wet|Cereals|Processed/Products
607|MP003|Milk chocolate, bar|Convectionery|Processed/Products
608|GR004|Milkfish, fresh|Fish and Other Seafood|Raw
609|AR020|Millet, raw|Cereals|Raw
610|AP023|Misua|Cereals|Processed/Products
611|BP068|Mocaf (Modified cassava flour)|Starchy Roots & Tubers|Processed/Products
612|GP074|Model, dish|Fish and Other Seafood|Processed/Products
613|MP013|Molasses|Convectionery|Processed/Products
614|CP050|Moon tofu|Grains and Legumes|Processed/Products
615|DR011|Moringa fruit|Vegetables|Raw
616|DP006|Moringa leaves, boiled|Vegetables|Processed/Products
617|DR038|Moringa leaves, fresh|Vegetables|Raw
618|CP005|Mungbean, boiled|Grains and Legumes|Processed/Products
619|CP015|Mungbean, dregs|Grains and Legumes|Processed/Products
620|CR014|Mungbean, dried|Grains and Legumes|Raw
621|CR012|Mungbean, variant bakti, dried|Grains and Legumes|Raw
622|CR013|Mungbean, variant siwalik, dried|Grains and Legumes|Raw
623|DR129|Mustard Greens|Vegetables|Raw
624|DR144|Mustard greens, fresh|Vegetables|Raw
625|DR141|Mustard greens, fresh|Vegetables|Raw
626|FP056|Naan maran cow, dish|Meat and Poultry|Processed/Products
627|DR142|Napa cabbage, fresh|Vegetables|Raw
628|AP089|Nasi gemuk|Cereals|Processed/Products
629|AP090|Nasi gurih|Cereals|Processed/Products
630|AP091|Nasi minyak|Cereals|Processed/Products
631|AP092|Nasi rames|Cereals|Processed/Products
632|FP057|Nasu likku, dish|Meat and Poultry|Processed/Products
633|GR057|Nasu metti fish, fresh|Fish and Other Seafood|Raw
634|DR057|Ndusuk leaves, fresh|Vegetables|Raw
635|DP052|Ndusuk soup|Vegetables|Processed/Products
636|GR029|Neddlefish, fresh|Fish and Other Seafood|Raw
637|BP050|Noodle, bendo|Starchy Roots & Tubers|Processed/Products
638|AP022|Noodle, dried|Cereals|Processed/Products
639|BP049|Noodle, golosor|Starchy Roots & Tubers|Processed/Products
640|BP051|Noodle, sago|Starchy Roots & Tubers|Processed/Products
641|AP021|Noodle, wet|Cereals|Processed/Products
642|AP093|Nopia special|Cereals|Processed/Products
643|ER072|Nutmeg, meat, fresh|Fruits|Raw
644|NR024|Nutmeg, seed, dried|Herbs and Spices|Raw
645|GP087|Octopus saboko, dish|Fish and Other Seafood|Processed/Products
646|FP077|Offal soto, dish|Meat and Poultry|Processed/Products
647|DP042|Olah-olah|Vegetables|Processed/Products
648|KR014|Olive oil|Fat and Oil|Raw
649|CP051|Oncom|Grains and Legumes|Processed/Products
650|CP039|Oncom, chips|Grains and Legumes|Processed/Products
651|CP053|Oncom, mungbean + cassava|Grains and Legumes|Processed/Products
652|CP052|Oncom, mungbean, dregs|Grains and Legumes|Processed/Products
653|CP054|Oncom, peanut, pepes|Grains and Legumes|Processed/Products
654|AP094|Onde-onde|Cereals|Processed/Products
655|DR007|Onion, fresh|Vegetables|Raw
656|FP058|Oramu ninahu ndawa olaho, dish|Meat and Poultry|Processed/Products
657|FP068|Oxtail soup, dish|Meat and Poultry|Processed/Products
658|BP053|Oyek|Starchy Roots & Tubers|Processed/Products
659|GP067|Oyster gulai, dish|Fish and Other Seafood|Processed/Products
660|DR090|Oyster mushroom, fresh|Vegetables|Raw
661|AP095|Padamaran|Cereals|Processed/Products
662|DP043|Paku hinela wulelenggapaya|Vegetables|Processed/Products
663|ER069|Palembang pineapple, fresh|Fruits|Raw
664|GR058|Paling fish, fresh|Fish and Other Seafood|Raw
665|KR012|Palm oil|Fat and Oil|Raw
666|MP005|Palm sugar|Convectionery|Processed/Products
667|GR060|Pangasius fish, fresh|Fish and Other Seafood|Raw
668|GP024|Pangasius, grilled|Fish and Other Seafood|Processed/Products
669|DR094|Panicled Spot Flower|Vegetables|Raw
670|FP059|Paniki cooked with coconut milk, dish|Meat and Poultry|Processed/Products
671|DP048|Papaya flower soup|Vegetables|Processed/Products
672|DR014|Papaya flower, fresh|Vegetables|Raw
673|DR065|Papaya leaves, fresh|Vegetables|Raw
674|ER020|Papaya, fresh|Fruits|Raw
675|ER073|Papaya, fresh|Fruits|Raw
676|DR133|Papaya, unripe, fresh|Vegetables|Raw
677|BP054|Papeda|Starchy Roots & Tubers|Processed/Products
678|GP076|Parede baleh, dish|Fish and Other Seafood|Processed/Products
679|ER008|Parinari, fresh|Fruits|Raw
680|GR031|Parrot fish, fresh|Fish and Other Seafood|Raw
681|DR135|Parsley, fresh|Vegetables|Raw
682|ER014|Passion fruit, fresh|Fruits|Raw
683|AP096|Pastel|Cereals|Processed/Products
684|FP029|Pasundan fried chicken, breast|Meat and Poultry|Processed/Products
685|FP030|Pasundan fried chicken, thigh|Meat and Poultry|Processed/Products
686|DR153|Pea eggplants, dried|Vegetables|Raw
687|DR152|Pea eggplants, fresh|Vegetables|Raw
688|CP036|Peanut butter|Grains and Legumes|Processed/Products
689|KR009|Peanut oil|Fat and Oil|Raw
690|CP013|Peanut, boiled|Grains and Legumes|Processed/Products
691|CP011|Peanut, boiled, with shells|Grains and Legumes|Processed/Products
692|CP021|Peanut, bungkil|Grains and Legumes|Processed/Products
693|CR032|Peanut, dried|Grains and Legumes|Raw
694|CP012|Peanut, fried|Grains and Legumes|Processed/Products
695|CR030|Peanut, seeds|Grains and Legumes|Raw
696|CR031|Peanut, seeds, without husk|Grains and Legumes|Raw
697|FP060|Pelolah manuk, dish|Meat and Poultry|Processed/Products
698|GP077|Pempek adaan (fish ball)|Fish and Other Seafood|Processed/Products
699|GP079|Pempek kapal selam|Fish and Other Seafood|Processed/Products
700|GP080|Pempek kelesan|Fish and Other Seafood|Processed/Products
701|FP066|Penyu, serapah, masakan|Meat and Poultry|Processed/Products
702|GP019|Pepes carp|Fish and Other Seafood|Processed/Products
703|GP021|pepes tilapia|Fish and Other Seafood|Processed/Products
704|NR023|Pepper, dried|Herbs and Spices|Raw
705|ER048|Persimmon, fresh|Fruits|Raw
706|CP004|Pigeon pea, boiled|Grains and Legumes|Processed/Products
707|CR034|Pigeon pea, dried|Grains and Legumes|Raw
708|CR022|Pigeon pea, dried|Grains and Legumes|Raw
709|CR010|Pigeon pea, seeds, dried|Grains and Legumes|Raw
710|CR011|Pigeon pea, seeds, fresh|Grains and Legumes|Raw
711|FP009|Pigeon, meat, fried|Meat and Poultry|Processed/Products
712|DR066|Pilea leaves, fresh|Vegetables|Raw
713|CR037|Pili nut (Banda), dried|Grains and Legumes|Raw
714|CR038|Pili nut, dried|Grains and Legumes|Raw
715|GP085|Pinda, dish|Fish and Other Seafood|Processed/Products
716|GP027|Pindang banjar fish, raw|Fish and Other Seafood|Processed/Products
717|GP030|Pindang blackbanded trevally, raw|Fish and Other Seafood|Processed/Products
718|GP029|Pindang Indian scad, raw|Fish and Other Seafood|Processed/Products
719|GP086|Pindang kenari, dish|Fish and Other Seafood|Processed/Products
720|EP002|Pineapple dodol|Fruits|Processed/Products
721|ER070|Pineapple, fresh|Fruits|Raw
722|FP031|Pioneer fried chicken, breast|Meat and Poultry|Processed/Products
723|MP015|Pirous syrup|Convectionery|Processed/Products
724|ER089|Plantain, fresh|Fruits|Raw
725|DP034|Pliek curry|Vegetables|Processed/Products
726|ER035|Pomelo, fresh|Fruits|Raw
727|GR061|Pomo fish, fresh|Fish and Other Seafood|Raw
728|GP026|Ponyfish, raw|Fish and Other Seafood|Processed/Products
729|KR004|Pork fat (bacon)|Fat and Oil|Raw
730|KR003|Pork fat (lard)|Fat and Oil|Raw
731|FP053|Pork Lawar, dish|Meat and Poultry|Processed/Products
732|FR010|Pork, kidney, fresh|Meat and Poultry|Raw
733|FR011|Pork, liver, fresh|Meat and Poultry|Raw
734|FR008|Pork, meat, fat, fresh|Meat and Poultry|Raw
735|FR009|Pork, meat, lean, fresh|Meat and Poultry|Raw
736|BP036|Potato, chips|Starchy Roots & Tubers|Processed/Products
737|BP067|Potato, flour, dried|Starchy Roots & Tubers|Processed/Products
738|BR013|Potato, fresh|Starchy Roots & Tubers|Raw
739|BR014|Potato, shetland black, fresh|Starchy Roots & Tubers|Raw
740|JP006|Powdered milk|Milk and Dairy Products|Processed/Products
741|GR084|Prawn, fresh|Fish and Other Seafood|Raw
742|DR019|Premna leaves, fresh|Vegetables|Raw
743|GP005|Presto milkfish, dish|Fish and Other Seafood|Processed/Products
744|GR040|Pufferfish, fresh|Fish and Other Seafood|Raw
745|AP097|Pulut|Cereals|Processed/Products
746|DR047|Pumpkin leaves, fresh|Vegetables|Raw
747|DR122|Pumpkin, yellow, fresh|Vegetables|Raw
748|KP004|Pure coconut milk|Fat and Oil|Processed/Products
749|DR081|Purple sweet potato leaves, fresh|Vegetables|Raw
750|BR033|Purple yam, fresh|Starchy Roots & Tubers|Raw
751|DP045|Purundawa|Vegetables|Processed/Products
752|FP065|Pusut satay, dish|Meat and Poultry|Processed/Products
753|AP99|Putri hijau|Cereals|Processed/Products
754|AP100|Putri selat|Cereals|Processed/Products
755|BP047|Putu singkong, kue|Starchy Roots & Tubers|Processed/Products
756|AP101|Putu sopa|Cereals|Processed/Products
757|HR011|Quail egg, fresh|Eggs|Raw
758|JP004|Quark|Milk and Dairy Products|Processed/Products
759|FR020|Rabbit, meat, fresh|Meat and Poultry|Raw
760|DR051|Radish leaves, fresh|Vegetables|Raw
761|DR126|Radish, fresh|Vegetables|Raw
762|ER041|Ragi orange, fresh|Fruits|Raw
763|ER096|Rambutan binjai, fresh|Fruits|Raw
764|ER097|Rambutan, fresh|Fruits|Raw
765|DR098|Ranti peas beans|Vegetables|Raw
766|BP055|Rasbi (Sweet potato rice)|Starchy Roots & Tubers|Processed/Products
767|BP056|Rasi (Cassava rice)|Starchy Roots & Tubers|Processed/Products
768|ER005|Raspberry, fresh|Fruits|Raw
769|FP087|Rat rica, dish|Meat and Poultry|Processed/Products
770|DR151|Ratoon sugarcane, fresh|Vegetables|Raw
771|ER090|Rattan banana, fresh|Fruits|Raw
772|DP055|Rattan umbut soup|Vegetables|Processed/Products
773|DR165|Rattan, unripe shoot|Vegetables|Raw
774|FP061|Rawon, dish|Meat and Poultry|Processed/Products
775|GR064|Rebon, small shrimp, fresh|Fish and Other Seafood|Raw
776|GP047|Rebung laut, raw|Fish and Other Seafood|Processed/Products
777|ER083|Red banana, fresh|Fruits|Raw
778|NP013|Red belachan|Herbs and Spices|Processed/Products
779|DR114|Red cabbage, cabbage|Vegetables|Raw
780|NR011|Red capsicum, fresh|Herbs and Spices|Raw
781|NR013|Red chili, dried|Herbs and Spices|Raw
782|NR014|Red chili, fresh|Herbs and Spices|Raw
783|ER012|Red dragon fruit, fresh|Fruits|Raw
784|DR012|Red fruit|Vegetables|Raw
785|GR053|Red mamar fish, fresh|Fish and Other Seafood|Raw
786|AP005|Red rice|Cereals|Processed/Products
787|CR051|Red saga, peeled, raw|Grains and Legumes|Raw
788|GP069|Red smoked fish, dish|Fish and Other Seafood|Processed/Products
789|DR009|Red spinach, fresh|Vegetables|Raw
790|DR079|Red sweet potato leaves, fresh|Vegetables|Raw
791|DP010|Red sweet potato, steamed|Vegetables|Processed/Products
792|DR161|Red tomato, fresh|Vegetables|Raw
793|CP056|Rempeyek, with black-eyed pea|Grains and Legumes|Processed/Products
794|CP055|Rempeyek, with peanut|Grains and Legumes|Processed/Products
795|CP057|Rempeyek, with ricebean|Grains and Legumes|Processed/Products
796|AP102|Renggi, fried|Cereals|Processed/Products
797|EP008|Rica-rica taipa|Fruits|Processed/Products
798|AP001|Rice|Cereals|Processed/Products
799|AP050|Rice crust, fried|Cereals|Processed/Products
800|AP047|Rice emping|Cereals|Processed/Products
801|AP098|Rice pundut|Cereals|Processed/Products
802|BP019|"Rice, ""Cerdas"""|Starchy Roots & Tubers|Processed/Products
803|AR004|Rice, black, raw|Cereals|Raw
804|AP004|Rice, flour, raw|Cereals|Processed/Products
805|BP020|Rice, ganyong|Starchy Roots & Tubers|Processed/Products
806|AR012|Rice, mashed, raw|Cereals|Raw
807|AR001|Rice, milled, raw|Cereals|Raw
808|AR002|Rice, milled, variant pelita, raw|Cereals|Raw
809|AR003|Rice, milled, variant rojolele, raw|Cereals|Raw
810|AR011|Rice, parboiled|Cereals|Raw
811|AR013|Rice, red, mashed, raw|Cereals|Raw
812|BP021|Rice, siger|Starchy Roots & Tubers|Processed/Products
813|AP002|Rice, steamed|Cereals|Processed/Products
814|AP003|Rice, tapai|Cereals|Processed/Products
815|CR035|Ricebean, dried|Grains and Legumes|Raw
816|CR007|Ricebean, seeds, dried|Grains and Legumes|Raw
817|ER043|Ripe ambarella, fresh|Fruits|Raw
818|ER110|Ripe breadfruit, fresh|Fruits|Raw
819|KR002|Ripe coconut, meat, fresh|Fat and Oil|Raw
820|ER028|Ripe plum mango|Fruits|Raw
821|CR047|River tamarind, seeds, old, fresh|Grains and Legumes|Raw
822|CR046|River tamarind, seeds, young, fresh|Grains and Legumes|Raw
823|CR048|River tamarind, variant gung, without skin|Grains and Legumes|Raw
824|CR049|River tamarind, variant local, with skin|Grains and Legumes|Raw
825|GR027|Rohu fish, fresh|Fish and Other Seafood|Raw
826|AP103|Roti boong|Cereals|Processed/Products
827|CP020|Rubber seeds, bungkil|Grains and Legumes|Processed/Products
828|EP009|Rujak aceh|Fruits|Processed/Products
829|DP046|Rujak cingur|Vegetables|Processed/Products
830|ER018|Ruruhi fruit (Syzygium polycephalum Merr), fresh|Fruits|Raw
831|GP048|Rusip|Fish and Other Seafood|Processed/Products
832|FP063|RW, dog, dish|Meat and Poultry|Processed/Products
833|ER081|Saba banana, fresh|Fruits|Raw
834|GP088|Saboko saltan, dish|Fish and Other Seafood|Processed/Products
835|FR034|Sago caterpillar, fresh|Meat and Poultry|Raw
836|FP020|Sago caterpillar, roasted|Meat and Poultry|Processed/Products
837|DR091|Sago mushroom|Vegetables|Raw
838|BP023|Sago porridge|Starchy Roots & Tubers|Processed/Products
839|BR018|Sago, aren, dried|Starchy Roots & Tubers|Raw
840|BR019|Sago, aren, fresh|Starchy Roots & Tubers|Raw
841|BR022|Sago, cassava, dried|Starchy Roots & Tubers|Raw
842|BR020|Sago, kasbi, fresh|Starchy Roots & Tubers|Raw
843|BR021|Sago, lempeng|Starchy Roots & Tubers|Raw
844|BP052|Sago, ongol-ongol|Starchy Roots & Tubers|Processed/Products
845|BP058|Sagu lemak (Kue Sagon)|Starchy Roots & Tubers|Processed/Products
846|BP060|Sagu rendang|Starchy Roots & Tubers|Processed/Products
847|ER025|Saipan mango, fresh|Fruits|Raw
848|ER101|Salak (snake fruit), fresh|Fruits|Raw
849|ER098|Salak bali, fresh|Fruits|Raw
850|ER099|Salak medan, fresh|Fruits|Raw
851|ER100|Salak pondoh, fresh|Fruits|Raw
852|GR072|Sale fish, fresh|Fish and Other Seafood|Raw
853|GP004|Salted fish, dried|Fish and Other Seafood|Processed/Products
854|GP018|Salted lomak, raw|Fish and Other Seafood|Processed/Products
855|GP009|Salted skipjack tuna, raw|Fish and Other Seafood|Processed/Products
856|EP013|Sanggara belanda|Fruits|Processed/Products
857|ER104|Sapodilla, fresh|Fruits|Raw
858|GP089|Sardine saboko, dish|Fish and Other Seafood|Processed/Products
859|GR066|Sardine, fresh|Fish and Other Seafood|Raw
860|AP105|Sarimuka|Cereals|Processed/Products
861|FP064|Satay, turtle, dish|Meat and Poultry|Processed/Products
862|FP073|Saudara soup, dish|Meat and Poultry|Processed/Products
863|DP059|Sauted spinach with coconut milk|Vegetables|Processed/Products
864|CP058|Sayur lebui|Grains and Legumes|Processed/Products
865|GP050|Sea cucumber, jerky, raw|Fish and Other Seafood|Processed/Products
866|DR140|Seaweed|Vegetables|Raw
867|GP032|Seluang fish, dried, raw|Fish and Other Seafood|Processed/Products
868|GR007|Seluang fish, fresh|Fish and Other Seafood|Raw
869|GR065|Seluang fish, fresh|Fish and Other Seafood|Raw
870|KR001|Semi-ripe coconut, meat, fresh|Fat and Oil|Raw
871|ER084|Senorita banana, fresh|Fruits|Raw
872|GP091|Sepi, dish|Fish and Other Seafood|Processed/Products
873|DR027|Serang goseweed leaves, fresh|Vegetables|Raw
874|KR013|Sesame oil|Fat and Oil|Raw
875|CR052|Sesame, raw|Grains and Legumes|Raw
876|DP056|Shabu-shabu|Vegetables|Processed/Products
877|NR007|Shallot, fresh|Herbs and Spices|Raw
878|DR018|Shallot, leaf, fresh|Vegetables|Raw
879|DR137|Shameplant|Vegetables|Raw
880|KR007|Shark oil, liver|Fat and Oil|Raw
881|GP014|Shark, fish, dried|Fish and Other Seafood|Processed/Products
882|GR028|Shark, fresh|Fish and Other Seafood|Raw
883|DR053|Shield aralia leaves, fresh|Vegetables|Raw
884|GP054|Shredded fish|Fish and Other Seafood|Processed/Products
885|GP053|Shreded snakehead murrel|Fish and Other Seafood|Processed/Products
886|NP008|Shrimp paste|Herbs and Spices|Processed/Products
887|BP045|Shrimp, chips, fried|Starchy Roots & Tubers|Processed/Products
888|FP067|Sie reuboh, dish|Meat and Poultry|Processed/Products
889|GR009|Silver pomfret, fresh|Fish and Other Seafood|Raw
890|DR070|Singkil leaves, fresh|Vegetables|Raw
891|BP061|Sinole sago|Starchy Roots & Tubers|Processed/Products
892|GP090|Skewered milkfish|Fish and Other Seafood|Processed/Products
893|JP010|Skimmed milk, fresh|Milk and Dairy Products|Processed/Products
894|JP009|Skimmed milk, powder|Milk and Dairy Products|Processed/Products
895|GP081|Skin pempek|Fish and Other Seafood|Processed/Products
896|GR018|Skipjack tuna, fresh|Fish and Other Seafood|Raw
897|GR020|Skipjack tuna, heart, fresh|Fish and Other Seafood|Raw
898|GR019|Skipjack tuna, liver, fresh|Fish and Other Seafood|Raw
899|GR021|Skipjack tuna, stomach, fresh|Fish and Other Seafood|Raw
900|AR010|Small broken rice, raw|Cereals|Raw
901|GP046|Small shrimp (Acetes), dried, raw|Fish and Other Seafood|Processed/Products
902|GP052|Small shrimp, raw|Fish and Other Seafood|Processed/Products
903|GP031|Smoked catfish, raw|Fish and Other Seafood|Processed/Products
904|GP058|Smoked skipjack tuna (papua smoked)|Fish and Other Seafood|Processed/Products
905|GP008|Smoked skipjack tuna, raw|Fish and Other Seafood|Processed/Products
906|GP011|Smoked snakehead murrel, raw|Fish and Other Seafood|Processed/Products
907|GR037|Snail, fresh|Fish and Other Seafood|Raw
908|GP001|Snail, jerky, raw|Fish and Other Seafood|Processed/Products
909|DR132|Snake gourd, fresh|Vegetables|Raw
910|GP012|Snakehead murrel, dried|Fish and Other Seafood|Processed/Products
911|GR025|Snakehead murrel, fresh|Fish and Other Seafood|Raw
912|GP036|Snakeskin gourami, dried, raw|Fish and Other Seafood|Processed/Products
913|GR068|Snakeskin gourami, fresh|Fish and Other Seafood|Raw
914|GR030|Snapper, fresh|Fish and Other Seafood|Raw
915|AR014|Sorghum, raw|Cereals|Raw
916|FP074|Soto bandung, dish|Meat and Poultry|Processed/Products
917|FP075|Soto banjar, dish|Meat and Poultry|Processed/Products
918|FP076|Soto betawi, dish|Meat and Poultry|Processed/Products
919|FP078|Soto kudus, masakan|Meat and Poultry|Processed/Products
920|FP079|Soto madura, dish|Meat and Poultry|Processed/Products
921|FP080|Soto padang, dish|Meat and Poultry|Processed/Products
922|FP081|Soto pekalongan, dish|Meat and Poultry|Processed/Products
923|FP082|Soto pemalang, dish|Meat and Poultry|Processed/Products
924|FP083|Soto sukaraja, dish|Meat and Poultry|Processed/Products
925|FP084|Soto sulung, dish|Meat and Poultry|Processed/Products
926|DP053|Soup|Vegetables|Processed/Products
927|DR155|Sour eggplant, fresh|Vegetables|Raw
928|JP005|Sour milk for baby, powder|Milk and Dairy Products|Processed/Products
929|DP047|Sour soup|Vegetables|Processed/Products
930|GP062|Sour soup gete, dish|Fish and Other Seafood|Processed/Products
931|ER106|Soursop, fresh|Fruits|Raw
932|ER107|Sowa, fresh|Fruits|Raw
933|KR010|Soy oil|Fat and Oil|Raw
934|CP060|Soybean milk|Grains and Legumes|Processed/Products
935|CP059|Soybean milk, powder|Grains and Legumes|Processed/Products
936|CP007|Soybean, boiled|Grains and Legumes|Processed/Products
937|CR017|Soybean, dried|Grains and Legumes|Raw
938|CP086|Soybean, flour|Grains and Legumes|Processed/Products
939|CR018|Soybean, fresh|Grains and Legumes|Raw
